ID | NOMBRE | PROMEDIO
----------------------
1 | Cristian | 1.9
2 | Rodrigo | 9.1
3 | Sabas | 6.8
4 | Jordana | 7.0
5 | Silvio | 6.8
6 | Nicolás | 6.7
7 | César | 7.1
8 | Ismael | 5.0
9 | Charo | 7.6
10 | Lázaro | 1.7
11 | Ligia | 1.7
12 | Valero | 3.1
13 | Virginia | 2.9
14 | Roque | 4.2
15 | Alonso | 3.2
16 | Santos | 7.7
17 | Magdalena | 3.8
18 | Héctor | 1.8
19 | Andrea | 1.7
20 | Reynaldo | 9.8
21 | Gema | 6.8
22 | Abilio | 4.4
23 | Paz | 6.5
24 | Morena | 7.6
25 | Pedro | 2.1
26 | Filomena | 9.3
27 | Margarita | 6.6
28 | Guadalupe | 9.5
29 | Maxi | 5.8
30 | Baldomero | 2.4
31 | Clotilde | 7.8
32 | Édgar | 8.3
33 | Damián | 9.0
34 | Alfonso | 1.5
35 | Mamen | 6.2
36 | Norberto | 4.3
37 | Segismundo | 8.2
38 | Amalia | 8.0
39 | Rosendo | 3.3
40 | Jenny | 7.2
41 | Esther | 8.5
42 | Vera | 9.0
43 | Pascuala | 5.6
44 | Ligia | 6.5
45 | Aroa | 4.9
46 | María Dolores | 9.0
47 | Anabel | 3.8
48 | Nereida | 1.3
49 | Nidia | 4.9
50 | Basilio | 9.8
51 | Reyna | 1.8
52 | Goyo | 2.4
53 | Imelda | 7.6
54 | Adelardo | 2.7
55 | Óscar | 6.6
56 | Graciana | 5.4
57 | Jenaro | 8.7
58 | Josep | 2.6
59 | Primitiva | 1.6
60 | Catalina | 9.3
61 | Josefa | 4.6
62 | Andrés | 9.2
63 | Araceli | 4.8
64 | Herminio | 7.3
65 | Glauco | 2.6
66 | Sebastián | 8.0
67 | Álvaro | 3.5
68 | Amancio | 1.7
69 | Félix | 8.8
70 | Custodio | 2.5
71 | Serafina | 1.9
72 | Félix | 5.1
73 | Calixto | 1.9
74 | Adoración | 3.1
75 | Cloe | 2.9
76 | Isaías | 6.6
77 | Coral | 6.2
78 | Máximo | 7.7
79 | Miriam | 1.5
80 | Charo | 4.1
81 | Anabel | 8.3
82 | Remedios | 9.0
83 | Dani | 9.6
84 | Benjamín | 7.4
85 | Dimas | 8.6
86 | Diego | 1.9
87 | Esmeralda | 1.9
88 | Marisa | 3.5
89 | Tamara | 7.7
90 | Martin | 7.3
91 | Jose Carlos | 7.6
92 | Azahara | 6.2
93 | Lourdes | 8.3
94 | Apolinar | 1.2
95 | Ricardo | 9.4
96 | Florencia | 3.1
97 | Matías | 6.3
98 | Lidia | 1.9
99 | Eduardo | 3.8
100 | Alonso | 5.8
101 | Begoña | 6.6
102 | Eliseo | 6.1
103 | Maximiano | 9.2
104 | Leoncio | 2.7
105 | Anunciación | 2.9
106 | Rómulo | 4.6
107 | Regina | 5.8
108 | Abilio | 4.7
109 | Isa | 8.7
110 | Joan | 8.3
111 | Basilio | 5.6
112 | Ale | 2.7
113 | Domitila | 1.3
114 | Luna | 7.1
115 | Emiliano | 5.1
116 | Agustina | 3.3
117 | Sarita | 5.5
118 | Ceferino | 2.2
119 | Tamara | 5.6
120 | Teófila | 8.0
121 | Mauricio | 9.5
122 | Otilia | 7.2
123 | Isidora | 5.7
124 | Cintia | 6.6
125 | Adelaida | 7.0
126 | Chelo | 4.3
127 | Edu | 1.1
128 | Matías | 5.5
129 | Jose | 7.5
130 | Rogelio | 7.9
131 | Fabiola | 6.4
132 | Lorenzo | 4.2
133 | Remigio | 9.0
134 | Jose Francisco | 1.6
135 | Albert | 2.0
136 | Estefanía | 8.8
137 | Gilberto | 5.2
138 | Sebastian | 9.9
139 | Edu | 8.0
140 | Zaida | 3.0
141 | Quirino | 7.4
142 | Arsenio | 4.4
143 | Isabel | 4.1
144 | Adán | 7.9
145 | Javi | 6.5
146 | Águeda | 6.7
147 | Máxima | 7.1
148 | Hilario | 5.3
149 | Noé | 7.5
150 | Lucho | 9.8
151 | Diana | 6.6
152 | Celestino | 3.6
153 | Carmela | 4.7
154 | Evita | 9.0
155 | Curro | 2.7
156 | Chuy | 5.9
157 | Tamara | 4.2
158 | Octavio | 3.8
159 | Melania | 2.7
160 | Edelmiro | 7.3
161 | Cosme | 4.3
162 | Fabiana | 2.2
163 | Juliana | 2.1
164 | Felipa | 2.5
165 | Aroa | 10.0
166 | Teodoro | 7.1
167 | Enrique | 4.9
168 | Reina | 2.1
169 | Marisol | 8.5
170 | Nayara | 3.4
171 | María José | 9.5
172 | Lilia | 2.0
173 | Fausto | 6.8
174 | Raquel | 2.4
175 | Tomás | 9.8
176 | Cruz | 1.6
177 | Cipriano | 3.3
178 | José Ángel | 7.3
179 | Eulalia | 2.6
180 | Clementina | 6.5
181 | Ámbar | 3.0
182 | Godofredo | 8.1
183 | Lilia | 9.4
184 | Lorenzo | 6.3
185 | Perla | 1.4
186 | Juan José | 2.6
187 | María Dolores | 5.7
188 | Elisabet | 6.6
189 | Roldán | 4.9
190 | Tatiana | 1.1
191 | Eusebio | 4.0
192 | Abigaíl | 4.4
193 | Lupe | 6.5
194 | Plácido | 2.2
195 | Clara | 9.3
196 | Dulce | 1.9
197 | Eusebio | 9.6
198 | Desiderio | 6.9
199 | Iker | 8.6
200 | Haydée | 8.3
201 | Roberto | 7.9
202 | Tatiana | 3.9
203 | Benita | 6.3
204 | Abraham | 6.6
205 | Roque | 2.0
206 | Ágata | 3.6
207 | Ascensión | 4.0
208 | Domingo | 2.8
209 | Adela | 3.7
210 | Nacho | 4.7
211 | Florentina | 2.9
212 | Eugenia | 4.9
213 | Faustino | 5.0
214 | Nidia | 2.9
215 | Xavier | 9.1
216 | Espiridión | 9.1
217 | Elías | 8.7
218 | Samanta | 8.9
219 | Celestina | 7.3
220 | Héctor | 1.6
221 | Jesús | 7.3
222 | Casemiro | 2.9
223 | Bienvenida | 8.7
224 | Godofredo | 4.0
225 | Florencio | 9.1
226 | Rebeca | 5.9
227 | Miguela | 7.6
228 | Feliciano | 7.6
229 | Julieta | 3.9
230 | Ainoa | 9.6
231 | Fortunata | 3.5
232 | Narciso | 9.4
233 | Américo | 1.1
234 | Víctor | 9.3
235 | Serafina | 9.8
236 | Seve | 7.0
237 | Vilma | 8.1
238 | Carmina | 2.5
239 | Rodolfo | 9.3
240 | Lucía | 1.9
241 | Jose Antonio | 5.6
242 | Ana | 8.1
243 | Candelaria | 8.8
244 | Natanael | 6.8
245 | Anna | 5.1
246 | Azahara | 3.1
247 | Gabino | 4.5
248 | Ema | 4.1
249 | Alejo | 1.1
250 | Glauco | 4.1
251 | Estefanía | 8.3
252 | Gregorio | 5.9
253 | Clementina | 3.6
254 | Adora | 9.3
255 | Eloy | 5.0
256 | Ale | 6.5
257 | Efraín | 8.5
258 | Antonia | 5.3
259 | Violeta | 8.0
260 | Manola | 1.4
261 | Olegario | 4.5
262 | Candelas | 9.9
263 | Edmundo | 5.2
264 | Isidro | 1.9
265 | Serafina | 5.6
266 | Amarilis | 9.4
267 | Rosario | 4.7
268 | Socorro | 6.4
269 | Paz | 1.6
270 | Casandra | 1.2
271 | Anastasia | 3.8
272 | Édgar | 6.2
273 | Bernardo | 5.2
274 | Ciríaco | 6.8
275 | Virgilio | 2.2
276 | Maximiano | 2.2
277 | Máxima | 8.6
278 | Herberto | 9.9
279 | Sonia | 4.1
280 | Vanesa | 9.7
281 | Amor | 6.5
282 | Hilario | 3.7
283 | Nicolasa | 9.4
284 | Carmelo | 4.6
285 | Paola | 7.8
286 | Glauco | 1.5
287 | Inmaculada | 4.0
288 | Azahar | 2.1
289 | Demetrio | 7.9
290 | Severo | 6.4
291 | Ariadna | 6.1
292 | Gertrudis | 9.5
293 | Natividad | 8.2
294 | Bruno | 10.0
295 | Angelina | 3.6
296 | Jenny | 6.1
297 | Marcela | 3.4
298 | Morena | 1.4
299 | Elisabet | 1.8
300 | Manuel | 7.3
301 | Íñigo | 6.5
302 | Celso | 9.8
303 | Delia | 3.3
304 | Loreto | 7.8
305 | Azucena | 1.9
306 | Perlita | 5.7
307 | Ruth | 2.4
308 | Evaristo | 8.5
309 | Graciano | 3.9
310 | José | 5.1
311 | Custodio | 7.2
312 | Socorro | 8.4
313 | María | 4.9
314 | Ascensión | 2.9
315 | Graciana | 6.5
316 | Alejandro | 7.5
317 | Dorotea | 1.5
318 | Nacio | 1.3
319 | Agustín | 3.2
320 | Desiderio | 1.8
321 | Cirino | 3.2
322 | Juan Francisco | 5.2
323 | Graciano | 7.4
324 | Gerónimo | 7.6
325 | Oriana | 6.9
326 | Nicodemo | 3.3
327 | Adelia | 6.4
328 | Josep | 1.4
329 | Epifanio | 2.1
330 | Cosme | 9.6
331 | Dafne | 6.5
332 | Trinidad | 5.7
333 | Santos | 3.3
334 | Fanny | 8.4
335 | Reina | 2.4
336 | Rocío | 4.1
337 | Clarisa | 9.2
338 | Rosaura | 5.0
339 | Estefanía | 4.4
340 | Lino | 7.9
341 | Ulises | 9.6
342 | Marisol | 8.4
343 | Luz | 4.9
344 | Marcela | 7.7
345 | Claudia | 3.2
346 | Severo | 9.4
347 | Porfirio | 3.6
348 | Prudencio | 9.0
349 | Goyo | 8.1
350 | Venceslás | 5.9
351 | Ángela | 5.8
352 | Melchor | 9.2
353 | Amílcar | 5.3
354 | María Teresa | 3.6
355 | Hector | 4.8
356 | Ignacio | 1.8
357 | Pacífica | 2.0
358 | Maristela | 4.3
359 | Carmelo | 5.1
360 | Benigno | 3.6
361 | Andrés | 7.4
362 | Danilo | 7.9
363 | Cosme | 3.7
364 | Aroa | 6.7
365 | Angelita | 6.3
366 | Ramiro | 9.1
367 | Abilio | 5.8
368 | Chelo | 5.3
369 | Evaristo | 3.9
370 | Petrona | 5.6
371 | Amor | 2.5
372 | Aristides | 2.2
373 | Oriana | 5.4
374 | Ignacia | 9.7
375 | Paulino | 8.5
376 | Eutimio | 8.6
377 | Carla | 5.7
378 | Isidoro | 3.7
379 | Gonzalo | 2.8
380 | Leire | 8.1
381 | Fernanda | 9.1
382 | Almudena | 9.3
383 | Iván | 7.2
384 | Albino | 2.7
385 | Cecilio | 5.5
386 | Ruy | 2.6
387 | Paz | 3.7
388 | Íñigo | 4.6
389 | Lucho | 2.4
390 | Merche | 6.4
391 | Miguel Ángel | 4.8
392 | Amílcar | 6.4
393 | Jafet | 1.5
394 | Julio | 5.9
395 | Victor | 9.8
396 | Atilio | 2.1
397 | Martín | 7.9
398 | Álvaro | 4.8
399 | Vicenta | 5.8
400 | Timoteo | 8.6
401 | Olga | 2.5
402 | Eleuterio | 3.1
403 | Albino | 5.9
404 | Tiburcio | 4.2
405 | Celso | 5.6
406 | Tito | 2.9
407 | Leandra | 2.2
408 | Alex | 3.6
409 | Sarita | 3.0
410 | Gregorio | 9.5
411 | Sarita | 9.1
412 | Vito | 4.8
413 | Celso | 9.4
414 | Ulises | 9.0
415 | Horacio | 2.5
416 | Graciano | 9.8
417 | Estrella | 8.9
418 | Julieta | 1.7
419 | Bernardo | 6.9
420 | Amador | 5.8
421 | Alejandro | 6.1
422 | Lola | 8.8
423 | Luis | 9.4
424 | Candela | 5.4
425 | Martín | 2.6
426 | Jordana | 7.7
427 | Leticia | 7.1
